Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
In the year 1900 in the U.S. what were the most popular first names given to boy and girl babies?,William and Elizabeth,Joseph and Catherine,John and Mary,George and Anne,John and Mary
When did the Liberty Bell get its name?,"when it was made, in 1701","when it rang on July 4, 1776","in the 19th century, when it became a symbol of the abolition of slavery",none of the above,"in the 19th century, when it became a symbol of the abolition of slavery"
"In the Roy Rogers -Dale Evans Museum, you will find Roy and Dales stuffed horses. Roy's horse was named Trigger, which was Dales horse?",Buttermilk,Daisy,Scout,Tulip,Buttermilk
The Daniel Boon museum at the home where he died can best be described how?,a log cabin in Kentucky,a two-story clapboard house in Tennessee,a four-story Georgian-style home in Missouri,a three story brick house in Arkansas,a four-story Georgian-style home in Missouri
Which of the following items was owned by the fewest U.S. homes in 1990?,home computer,compact disk player,cordless phone,dishwasher,compact disk player
Who holds the record for the most victories in a row on the professional golf tour?,Jack Nicklaus,Arnold Palmer,Byron Nelson,Ben Hogan  ,Byron Nelson
During the 1989s for six consecutive years what breed of dog was the most popular in the U.S.?,Cocker spaniel,German Shepard ,Labrador retriever ,Poodle,Cocker spaniel 
Who is third behind Hank Aaron and Babe Ruth in major league career home runs?,Reggie Jackson,Harmon Killebrew,Willie Mays,Frank Robinson ,Willie Mays
"In 1990, in what percentage of U.S. married couples did the wife earn more money than the husband?",8,18,38,21,18
"In 1985, five percent of U.S. households had telephone answering machines. By 1990 what percentage of homes had answering machines?",10 percent ,15 percent ,31 percent ,51 percent ,31 percent 
The first black American pictured on a U.S. postage stamp was who?,Fredrick Douglas ,Booked T. Washington ,Louis Armstrong ,Joe Louis ,Joe Louis 
What did the “D” in D-Day stand for?,Doom,Day,Dwight (Eisenhower),Dunkirk,Day
The Brownie Box Camera introduced by Eastman Kodak in 1990 had a retail price of what?,$1,$5,$10,$20,$1
which of these characters turned 40 years old in 1990?,Charlie Brown,Bugs Bunny,Mickey Mouse,Fred Flintsone,Charlie Brown
The Philadelphia mint started putting a “P” mint mark on quarters when?,1960,1980,1970,Never,1980
"Before becoming George Bush’s Secretary of Defense, what was Dick Cheney’s position?",Congressman from Wyoming,Governor of New Hampshire,Secretary of Denfense under Ronald Reagan,None of the above,Congressman from Wyoming
